year,province,SAC_code,SAC_name,CTUID,fuel_type,fuel_type_description,value
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050013.00,ZEV,All zero-emission vehicles (BEV and PHEV),24
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050014.00,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050014.00,ZEV,All zero-emission vehicles (BEV and PHEV),1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050015.00,BEV,Battery electric vehicles,8
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050015.00,PHEV,Plug-in hybrid electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050015.00,ZEV,All zero-emission vehicles (BEV and PHEV),14
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050016.00,BEV,Battery electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050016.00,PHEV,Plug-in hybrid electric vehicles,7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050016.00,ZEV,All zero-emission vehicles (BEV and PHEV),11
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050017.00,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050017.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050017.00,ZEV,All zero-emission vehicles (BEV and PHEV),8
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050018.00,BEV,Battery electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050018.00,PHEV,Plug-in hybrid electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050018.00,ZEV,All zero-emission vehicles (BEV and PHEV),12
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050019.00,BEV,Battery electric vehicles,7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050019.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050019.00,ZEV,All zero-emission vehicles (BEV and PHEV),10
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050020.01,BEV,Battery electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050020.01,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050020.01,ZEV,All zero-emission vehicles (BEV and PHEV),10
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050020.02,BEV,Battery electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050020.02,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050020.02,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050021.00,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050021.00,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050021.00,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050022.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050022.00,ZEV,All zero-emission vehicles (BEV and PHEV),3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050023.01,PHEV,Plug-in hybrid electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050023.01,ZEV,All zero-emission vehicles (BEV and PHEV),6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050023.02,BEV,Battery electric vehicles,7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050023.02,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050023.02,ZEV,All zero-emission vehicles (BEV and PHEV),10
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050024.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050024.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050024.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050025.00,BEV,Battery electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050025.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050025.00,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050026.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050026.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050026.00,ZEV,All zero-emission vehicles (BEV and PHEV),6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050027.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050027.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050027.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050028.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050028.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050028.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050029.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050029.00,ZEV,All zero-emission vehicles (BEV and PHEV),2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050030.00,BEV,Battery electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050030.00,PHEV,Plug-in hybrid electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050030.00,ZEV,All zero-emission vehicles (BEV and PHEV),11
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050031.00,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050031.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050031.00,ZEV,All zero-emission vehicles (BEV and PHEV),6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050032.01,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050032.01,ZEV,All zero-emission vehicles (BEV and PHEV),2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050032.02,BEV,Battery electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050032.02,PHEV,Plug-in hybrid electric vehicles,13
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050032.02,ZEV,All zero-emission vehicles (BEV and PHEV),18
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050033.01,BEV,Battery electric vehicles,9
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050033.01,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050033.01,ZEV,All zero-emission vehicles (BEV and PHEV),13
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050033.02,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050033.02,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050033.02,ZEV,All zero-emission vehicles (BEV and PHEV),6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050034.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050034.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050034.00,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050035.00,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050035.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050035.00,ZEV,All zero-emission vehicles (BEV and PHEV),8
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050036.00,BEV,Battery electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050036.00,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050036.00,ZEV,All zero-emission vehicles (BEV and PHEV),8
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050037.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050037.00,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050038.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050038.00,ZEV,All zero-emission vehicles (BEV and PHEV),2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050039.00,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050039.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050039.00,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050040.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050040.00,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050040.00,ZEV,All zero-emission vehicles (BEV and PHEV),3
